Date,SPG,NKE,NFLX,WWE,AAPL,KO,GOOGL,FB,IBM,TSLA
9/21/2020 16:00:00,64.87,113.37,487.35,39.36,110.08,49.09,1430.14,248.15,120.25,449.39
9/22/2020 16:00:00,65.11,116.87,491.17,39.21,111.81,49.66,1459.82,254.75,120.51,424.23
9/23/2020 16:00:00,62.89,127.11,470.61,38.35,107.12,48.21,1409.39,249.02,118.83,380.36
9/24/2020 16:00:00,62.83,124.75,473.08,38.82,108.22,48.7,1422.86,249.53,118.09,387.79
9/25/2020 16:00:00,63.58,124.23,482.88,39.15,112.28,48.72,1439.06,254.82,118.95,407.34
9/28/2020 16:00:00,65.79,124.32,490.65,39.87,114.96,49.28,1458.66,256.82,121.73,421.2
9/29/2020 16:00:00,63.99,126.35,493.48,40.03,114.09,48.92,1466.02,261.79,120.94,419.07
9/30/2020 16:00:00,64.68,125.54,500.03,40.47,115.81,49.37,1465.6,261.9,121.67,429.01
10/1/2020 16:00:00,66.53,126.64,527.51,40.37,116.79,49.18,1487.9,266.63,121.09,448.16
10/2/2020 16:00:00,68.2,126.64,503.06,40.16,113.02,49.36,1455.6,259.94,120.57,415.09
10/5/2020 16:00:00,68.76,127.91,520.65,39.22,116.5,49.38,1482.83,264.65,122.01,425.68
10/6/2020 16:00:00,69.98,127.65,505.87,39.76,113.16,48.94,1451.02,258.66,121.97,413.98
10/7/2020 16:00:00,71.03,130.06,534.66,40.08,115.08,49.56,1459.14,258.12,124.07,425.3
10/8/2020 16:00:00,70.07,129.71,531.79,39.85,114.97,50.46,1483.43,263.76,131.49,425.92
10/9/2020 16:00:00,67.72,130.98,539.44,40.16,116.97,50.81,1510.45,264.45,127.79,434
10/12/2020 16:00:00,68.02,129.46,539.81,40.08,124.4,51.09,1564.59,275.75,127.21,442.3
10/13/2020 16:00:00,65.82,129.2,554.09,40.57,121.1,50.22,1567.07,276.14,125.1,446.65
10/14/2020 16:00:00,65.72,127.66,541.45,41.65,121.19,50.12,1563.44,271.82,125.94,461.3
10/15/2020 16:00:00,65.12,129,541.94,40.96,120.71,49.99,1555.47,266.72,124.89,448.88
10/16/2020 16:00:00,64.82,128,530.79,39.78,119.02,50.03,1567.7,265.93,125.93,439.67
10/19/2020 16:00:00,63.91,127.43,530.72,38.65,115.98,49.62,1529.95,261.4,125.52,430.83
10/20/2020 16:00:00,64.46,128.49,525.42,38.71,117.51,50.25,1551.08,267.56,117.37,421.94
10/21/2020 16:00:00,64.21,129.43,489.05,38.99,116.87,49.99,1585.99,278.73,115.06,422.64
10/22/2020 16:00:00,66.35,130.02,485.23,38.6,115.75,50.68,1606.66,278.12,115.76,425.79
10/23/2020 16:00:00,66.88,129.99,488.28,38.28,115.04,50.52,1632.98,284.79,116,420.63
10/26/2020 16:00:00,64.68,128.37,488.24,37.65,115.05,49.8,1584.29,277.11,112.22,420.28
10/27/2020 16:00:00,61.98,127.99,488.93,37.48,116.6,49.9,1598.88,283.29,110.56,424.68
10/28/2020 16:00:00,60.76,122.08,486.24,36.65,111.2,47.96,1510.8,267.67,106.65,406.02
10/29/2020 16:00:00,63.41,122.86,504.21,37.33,115.32,48.02,1556.88,280.83,108.91,410.83
10/30/2020 16:00:00,62.81,120.08,475.74,36.36,108.86,48.06,1616.11,263.11,111.66,388.04
11/2/2020 16:00:00,64.71,122.39,484.12,38.41,108.77,48.62,1624.32,261.36,112.91,400.51
11/3/2020 16:00:00,64.99,124.59,487.22,38.5,110.44,49.35,1645.66,265.3,114.16,423.9
11/4/2020 16:00:00,62.28,127.34,496.95,39.1,114.95,49.17,1745.85,287.38,111.9,420.98
11/5/2020 16:00:00,63.47,129.7,513.76,37.78,119.03,49.44,1762.5,294.68,114.77,438.09
11/6/2020 16:00:00,61.86,128.9,514.73,38.92,118.69,49.45,1759.73,293.41,114.04,429.95
11/9/2020 16:00:00,79.1,128.95,470.5,40.23,116.32,52.57,1761.42,278.77,115.53,421.26
11/10/2020 16:00:00,78.84,127.71,480.24,40.53,115.97,53.98,1737.72,272.43,117.91,410.36
11/11/2020 16:00:00,73.41,127.66,490.76,41.11,119.49,53.58,1747.23,276.48,117.2,417.13
11/12/2020 16:00:00,69.14,126.64,486.77,40.3,119.21,53.01,1742.82,275.08,114.5,411.76
11/13/2020 16:00:00,74.7,128.28,482.84,40.88,119.26,53.45,1772.26,276.95,116.85,408.5
11/16/2020 16:00:00,78.96,130.11,479.1,42.26,120.3,53.85,1774.03,278.96,118.36,408.09
11/17/2020 16:00:00,78.96,132.21,480.63,42.23,119.39,53.68,1761.66,275,117.7,441.61
11/18/2020 16:00:00,76.61,131.63,481.79,41.47,118.03,52.61,1740.64,271.97,116.77,486.64
11/19/2020 16:00:00,80.63,131.91,484.67,41.95,118.64,53.13,1758.57,272.94,117.18,499.27
11/20/2020 16:00:00,81.12,132.98,488.24,40.97,117.34,52.67,1736.38,269.7,116.94,489.61
11/23/2020 16:00:00,85.41,134.13,476.62,41.3,113.85,52.68,1727.56,268.43,120.09,521.85
